gridNum:786, nrmse:0.342
gridNum:707, nrmse:0.305
gridNum:780, nrmse:0.266
gridNum:765, nrmse:0.368
gridNum:777, nrmse:0.328
gridNum:767, nrmse:0.433
gridNum:766, nrmse:0.424
gridNum:778, nrmse:0.321
gridNum:788, nrmse:0.341
gridNum:794, nrmse:0.308
gridNum:790, nrmse:0.410
gridNum:801, nrmse:0.434
gridNum:776, nrmse:0.323
gridNum:795, nrmse:0.407
gridNum:695, nrmse:0.527
gridNum:797, nrmse:0.438
gridNum:802, nrmse:0.350
gridNum:783, nrmse:0.288
gridNum:665, nrmse:0.526
gridNum:805, nrmse:0.306
gridNum:812, nrmse:0.266
gridNum:811, nrmse:0.267
gridNum:815, nrmse:0.365
gridNum:741, nrmse:0.349
gridNum:814, nrmse:0.410
gridNum:804, nrmse:0.335
gridNum:793, nrmse:0.423
gridNum:821, nrmse:0.412
gridNum:791, nrmse:0.469
gridNum:789, nrmse:0.438
gridNum:732, nrmse:0.400
gridNum:796, nrmse:0.425
gridNum:808, nrmse:0.334
gridNum:806, nrmse:0.320
gridNum:825, nrmse:0.392
gridNum:798, nrmse:0.349
gridNum:820, nrmse:0.455
gridNum:813, nrmse:0.337
gridNum:831, nrmse:0.470
gridNum:807, nrmse:0.316
gridNum:816, nrmse:0.330
gridNum:822, nrmse:0.433
gridNum:809, nrmse:0.291
gridNum:833, nrmse:0.357
gridNum:842, nrmse:0.242
gridNum:832, nrmse:0.365
gridNum:840, nrmse:0.343
gridNum:844, nrmse:0.455
gridNum:817, nrmse:0.300
gridNum:830, nrmse:0.409
gridNum:843, nrmse:0.313
gridNum:824, nrmse:0.279
gridNum:818, nrmse:0.379
gridNum:829, nrmse:0.330
gridNum:852, nrmse:0.473
gridNum:837, nrmse:0.357
gridNum:823, nrmse:0.537
gridNum:736, nrmse:0.432
gridNum:839, nrmse:0.260
gridNum:846, nrmse:0.330
gridNum:838, nrmse:0.360
gridNum:810, nrmse:3507.195
gridNum:855, nrmse:0.321
gridNum:836, nrmse:0.340
gridNum:845, nrmse:0.411
gridNum:850, nrmse:0.545
gridNum:834, nrmse:0.352
gridNum:800, nrmse:0.356
gridNum:847, nrmse:0.367
gridNum:863, nrmse:0.330
gridNum:860, nrmse:0.340
gridNum:861, nrmse:0.376
gridNum:862, nrmse:0.344
gridNum:859, nrmse:0.434
gridNum:799, nrmse:0.318
gridNum:854, nrmse:0.281
gridNum:858, nrmse:0.413
gridNum:867, nrmse:0.318
gridNum:865, nrmse:0.328
gridNum:864, nrmse:0.322
gridNum:866, nrmse:0.348
gridNum:841, nrmse:0.338
gridNum:875, nrmse:0.407
gridNum:869, nrmse:0.268
gridNum:848, nrmse:0.627
gridNum:868, nrmse:0.291
gridNum:851, nrmse:0.464
gridNum:876, nrmse:0.400
gridNum:803, nrmse:0.375
gridNum:737, nrmse:0.381
gridNum:819, nrmse:0.444
gridNum:857, nrmse:0.424
gridNum:853, nrmse:0.377
gridNum:882, nrmse:0.451
gridNum:890, nrmse:0.325
gridNum:871, nrmse:0.345
gridNum:895, nrmse:0.332
gridNum:884, nrmse:0.314
gridNum:886, nrmse:0.317
gridNum:872, nrmse:0.401
